year,plot,tag,trt,clipping_exp,rosetteL,rosetteW,psurvival,psurvivalT1,pflower,pflowerT1,ros.area,ros.areaT1,log.ros.area,log.ros.areaT1,flow.sum,flow.sumT1,total.seeds,total.seedsT1,percapseeds,life_st
2020,2,1022,control,NA,2,1.5,1,1,0,0,2.35619449,1.178097245,0.857047813,0.163900633,0,0,NA,NA,NA,V
2021,2,1022,control,NA,3,0.5,1,0,0,0,1.178097245,NA,0.163900633,NA,0,0,NA,NA,NA,V
2022,2,1022,control,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,2,1022,control,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2018,15,1025,drought,NA,8,6,1,1,0,0,37.69911184,33.37942194,3.629636536,3.507939601,0,0,NA,NA,NA,V
2019,15,1025,drought,NA,8.5,5,1,1,0,0,33.37942194,28.27433388,3.507939601,3.341954463,0,0,NA,NA,NA,V
2020,15,1025,drought,NA,9,4,1,1,0,1,28.27433388,18.84955592,3.341954463,2.936489355,0,4,NA,NA,NA,V
2021,15,1025,drought,1,6,4,1,1,1,0,18.84955592,27.48893572,2.936489355,3.313783586,4,0,NA,NA,NA,F
2022,15,1025,drought,NA,7,5,1,1,0,0,27.48893572,37.69911184,3.313783586,3.629636536,0,0,NA,NA,NA,V
2023,15,1025,drought,NA,8,6,1,NA,0,NA,37.69911184,NA,3.629636536,NA,0,NA,NA,NA,NA,V
2019,1,1027,irrigated,NA,11,6,1,NA,0,NA,51.83627878,NA,3.948090267,NA,0,0,NA,NA,NA,V
2020,1,1027,irrigated,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
2021,1,1027,irrigated,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,1,1027,irrigated,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,1,1027,irrigated,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2022,13,1029,control,NA,11,5,1,1,0,1,43.19689899,51.05088062,3.76576871,3.932822795,0,3,NA,0,NA,V
2023,13,1029,control,NA,10,6.5,1,NA,1,NA,51.05088062,NA,3.932822795,NA,3,NA,0,NA,0,F
2018,14,1031,drought,NA,7,5,1,1,0,0,27.48893572,23.5619449,3.313783586,3.159632906,0,0,NA,NA,NA,V
2019,14,1031,drought,NA,7.5,4,1,1,0,0,23.5619449,15.31526419,3.159632906,2.72884999,0,0,NA,NA,NA,V
2020,14,1031,drought,NA,6.5,3,1,1,0,0,15.31526419,28.07798434,2.72884999,3.334985794,0,0,NA,NA,NA,V
2021,14,1031,drought,NA,6.5,5.5,1,1,0,0,28.07798434,56.54866776,3.334985794,4.035101644,0,0,NA,NA,NA,V
2022,14,1031,drought,NA,8,9,1,1,0,0,56.54866776,32.98672286,4.035101644,3.496105143,0,0,NA,NA,NA,V
2023,14,1031,drought,NA,7,6,1,NA,0,NA,32.98672286,NA,3.496105143,NA,0,NA,NA,NA,NA,V
2019,2,1034,control,NA,10,7,1,1,1,1,54.97787144,16.49336143,4.006930767,2.802957962,0,4,NA,NA,NA,F
2020,2,1034,control,NA,7,3,1,1,1,0,16.49336143,21.20575041,2.802957962,3.054272391,4,0,NA,NA,NA,F
2021,2,1034,control,NA,9,3,1,1,0,1,21.20575041,60.47565858,3.054272391,4.102240947,0,2,NA,42,NA,V
2022,2,1034,control,NA,11,7,1,1,1,1,60.47565858,78.53981634,4.102240947,4.363605711,2,3,42,47,21,F
2023,2,1034,control,NA,12.5,8,1,NA,1,NA,78.53981634,NA,4.363605711,NA,3,NA,47,NA,15,F
2019,15,1036,drought,NA,7.5,5,1,1,0,0,29.45243113,17.67145868,3.382776458,2.871950834,0,0,NA,NA,NA,V
2020,15,1036,drought,NA,7.5,3,1,1,0,1,17.67145868,31.41592654,2.871950834,3.447314979,0,2,NA,NA,NA,V
2021,15,1036,drought,1,8,5,1,1,1,0,31.41592654,69.11503838,3.447314979,4.235772339,2,0,NA,NA,NA,F
2022,15,1036,drought,NA,11,8,1,1,0,1,69.11503838,131.9468915,4.235772339,4.882399504,0,5,NA,37,NA,V
2023,15,1036,drought,NA,14,12,1,NA,1,NA,131.9468915,NA,4.882399504,NA,5,NA,37,NA,7,F
2018,15,1037,drought,NA,5,2.2,1,1,0,0,8.639379797,16.49336143,2.156330798,2.802957962,0,0,NA,NA,NA,V
2019,15,1037,drought,NA,7,3,1,1,0,0,16.49336143,14.13716694,2.802957962,2.648807283,0,0,NA,NA,NA,V
2020,15,1037,drought,NA,6,3,1,1,0,0,14.13716694,14.13716694,2.648807283,2.648807283,0,0,NA,NA,NA,V
2021,15,1037,drought,NA,6,3,1,1,0,0,14.13716694,32.98672286,2.648807283,3.496105143,0,0,NA,NA,NA,V
2022,15,1037,drought,NA,14,3,1,1,0,0,32.98672286,117.8097245,3.496105143,4.769070819,0,0,NA,NA,NA,V
2023,15,1037,drought,NA,15,10,1,NA,0,NA,117.8097245,NA,4.769070819,NA,0,NA,NA,NA,NA,V
2022,15,1038,drought,NA,5,3,1,1,0,0,11.78097245,17.67145868,2.466485726,2.871950834,0,0,NA,NA,NA,V
2023,15,1038,drought,NA,7.5,3,1,NA,0,NA,17.67145868,NA,2.871950834,NA,0,NA,NA,NA,NA,V
2019,2,1041,control,NA,9.5,6.5,1,NA,1,NA,48.49833659,NA,3.8815295,NA,2,0,NA,NA,NA,F
2020,2,1041,control,NA,NA,NA,NA,1,NA,0,NA,23.5619449,NA,3.159632906,0,0,NA,NA,NA,NA
2021,2,1041,control,NA,6,5,1,1,0,0,23.5619449,NA,3.159632906,NA,0,0,NA,NA,NA,V
2022,2,1041,control,NA,NA,NA,1,1,0,1,NA,70.68583471,NA,4.258245195,0,5,NA,70,NA,dormant
2023,2,1041,control,NA,10,9,1,NA,1,NA,70.68583471,NA,4.258245195,NA,5,NA,70,NA,14,F
2019,2,1045,control,NA,5.5,NA,1,1,0,0,NA,12.76272016,NA,2.546528434,0,0,NA,NA,NA,V
2020,2,1045,control,NA,6.5,2.5,1,1,0,0,12.76272016,21.20575041,2.546528434,3.054272391,0,0,NA,NA,NA,V
2021,2,1045,control,NA,6,4.5,1,1,0,0,21.20575041,35.34291735,3.054272391,3.565098014,0,0,NA,NA,NA,V
2022,2,1045,control,NA,9,5,1,1,0,0,35.34291735,14.72621556,3.565098014,2.689629277,0,0,NA,NA,NA,V
