year,plot,tag,trt,clipping_exp,rosetteL,rosetteW,psurvival,psurvivalT1,pflower,pflowerT1,ros.area,ros.areaT1,log.ros.area,log.ros.areaT1,flow.sum,flow.sumT1,total.seeds,total.seedsT1,percapseeds,life_st
2019,9,1240,irrigated,NA,7,2,1,1,0,0,10.99557429,18.84955592,2.397492854,2.936489355,0,0,NA,NA,NA,V
2020,9,1240,irrigated,NA,8,3,1,1,0,0,18.84955592,35.34291735,2.936489355,3.565098014,0,0,NA,NA,NA,V
2021,9,1240,irrigated,NA,9,5,1,1,0,0,35.34291735,95.03317777,3.565098014,4.55422607,0,0,NA,NA,NA,V
2022,9,1240,irrigated,NA,11,11,1,1,0,0,95.03317777,141.3716694,4.55422607,4.951392376,0,0,NA,NA,NA,V
2023,9,1240,irrigated,NA,15,12,1,NA,0,NA,141.3716694,NA,4.951392376,NA,0,NA,NA,NA,NA,V
2022,6,1241,irrigated,NA,13,3,1,1,0,0,30.63052837,95.03317777,3.421997171,4.55422607,0,0,NA,NA,NA,V
2023,6,1241,irrigated,NA,11,11,1,NA,0,NA,95.03317777,NA,4.55422607,NA,0,NA,NA,NA,NA,V
2023,2,1242,control,NA,5.5,2,1,NA,0,NA,8.639379797,NA,2.156330798,NA,0,NA,NA,NA,NA,V
2019,6,1243,irrigated,NA,10.5,4,1,1,0,0,32.98672286,56.54866776,3.496105143,4.035101644,0,0,NA,NA,NA,V
2020,6,1243,irrigated,NA,12,6,1,1,0,0,56.54866776,112.3119374,4.035101644,4.721280155,0,0,NA,NA,NA,V
2021,6,1243,irrigated,NA,13,11,1,1,0,0,112.3119374,142.9424657,4.721280155,4.962442212,0,0,NA,NA,NA,V
2022,6,1243,irrigated,NA,13,14,1,1,0,1,142.9424657,164.9336143,4.962442212,5.105543055,0,7,NA,31,NA,V
2023,6,1243,irrigated,NA,15,14,1,NA,1,NA,164.9336143,NA,5.105543055,NA,7,NA,31,NA,6,F
2019,15,1244,drought,NA,7.5,3,1,1,0,0,17.67145868,12.76272016,2.871950834,2.546528434,0,0,NA,NA,NA,V
2020,15,1244,drought,NA,6.5,2.5,1,1,0,0,12.76272016,18.84955592,2.546528434,2.936489355,0,0,NA,NA,NA,V
2021,15,1244,drought,NA,6,4,1,1,0,0,18.84955592,38.87720909,2.936489355,3.660408194,0,0,NA,NA,NA,V
2022,15,1244,drought,NA,11,4.5,1,1,0,0,38.87720909,94.24777961,3.660408194,4.545927268,0,0,NA,NA,NA,V
2023,15,1244,drought,NA,15,8,1,NA,0,NA,94.24777961,NA,4.545927268,NA,0,NA,NA,NA,NA,V
2022,15,1245,drought,NA,7,2,1,1,0,0,10.99557429,21.99114858,2.397492854,3.090640035,0,0,NA,NA,NA,V
2023,15,1245,drought,NA,7,4,1,NA,0,NA,21.99114858,NA,3.090640035,NA,0,NA,NA,NA,NA,V
2022,7,1246,drought,NA,7,3,1,1,0,0,16.49336143,32.98672286,2.802957962,3.496105143,0,0,NA,NA,NA,V
2023,7,1246,drought,NA,12,3.5,1,NA,0,NA,32.98672286,NA,3.496105143,NA,0,NA,NA,NA,NA,V
2019,6,1247,irrigated,NA,5,2,1,1,0,0,7.853981634,23.5619449,2.061020618,3.159632906,0,0,NA,NA,NA,V
2020,6,1247,irrigated,NA,7.5,4,1,1,0,0,23.5619449,36.12831552,3.159632906,3.587076921,0,0,NA,NA,NA,V
2021,6,1247,irrigated,NA,11.5,4,1,1,0,0,36.12831552,91.89158512,3.587076921,4.52060946,0,0,NA,NA,NA,V
2022,6,1247,irrigated,NA,13,9,1,1,0,0,91.89158512,117.8097245,4.52060946,4.769070819,0,0,NA,NA,NA,V
2023,6,1247,irrigated,NA,15,10,1,NA,0,NA,117.8097245,NA,4.769070819,NA,0,NA,NA,NA,NA,V
2019,7,1249,drought,NA,5.3,3,1,1,0,0,12.4878308,10.99557429,2.524754634,2.397492854,0,0,NA,NA,NA,V
2020,7,1249,drought,NA,7,2,1,1,0,0,10.99557429,15.70796327,2.397492854,2.754167798,0,0,NA,NA,NA,V
2021,7,1249,drought,NA,5,4,1,1,0,0,15.70796327,NA,2.754167798,NA,0,0,NA,NA,NA,V
2022,7,1249,drought,NA,NA,NA,1,1,0,0,NA,28.27433388,NA,3.341954463,0,0,NA,NA,NA,dormant
2023,7,1249,drought,NA,12,3,1,NA,0,NA,28.27433388,NA,3.341954463,NA,0,NA,NA,NA,NA,V
2017,2,125,control,NA,12,7.5,1,1,1,0,70.68583471,78.53981634,4.258245195,4.363605711,3,0,NA,NA,NA,F
2018,2,125,control,NA,8,12.5,1,1,0,1,78.53981634,78.53981634,4.363605711,4.363605711,0,5,NA,NA,NA,V
2019,2,125,control,NA,10,10,1,1,1,1,78.53981634,18.84955592,4.363605711,2.936489355,5,0,NA,NA,NA,F
2020,2,125,control,NA,6,4,1,1,1,1,18.84955592,45.94579256,2.936489355,3.827462279,0,3,NA,NA,NA,F
2021,2,125,control,1,9,6.5,1,0,1,0,45.94579256,NA,3.827462279,NA,3,0,NA,NA,NA,F
2022,2,125,control,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,2,125,control,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2019,7,1251,drought,NA,18,8.5,1,1,0,0,120.165919,25.13274123,4.788873446,3.224171428,0,0,NA,NA,NA,V
2020,7,1251,drought,NA,8,4,1,1,0,0,25.13274123,32.98672286,3.224171428,3.496105143,0,0,NA,NA,NA,V
2021,7,1251,drought,NA,7,6,1,1,0,0,32.98672286,164.9336143,3.496105143,5.105543055,0,0,NA,NA,NA,V
2022,7,1251,drought,NA,15,14,1,1,0,1,164.9336143,197.9203372,5.105543055,5.287864612,0,3,NA,8,NA,V
2023,7,1251,drought,NA,18,14,1,NA,1,NA,197.9203372,NA,5.287864612,NA,3,NA,8,NA,2,F
2022,7,1252,drought,NA,7,2,1,1,0,0,10.99557429,7.853981634,2.397492854,2.061020618,0,0,NA,NA,NA,V
2023,7,1252,drought,NA,5,2,1,NA,0,NA,7.853981634,NA,2.061020618,NA,0,NA,NA,NA,NA,V
2022,7,1253,drought,NA,8,2.5,1,1,0,0,15.70796327,10.99557429,2.754167798,2.397492854,0,0,NA,NA,NA,V
2023,7,1253,drought,NA,7,2,1,NA,0,NA,10.99557429,NA,2.397492854,NA,0,NA,NA,NA,NA,V
2019,7,1255,drought,NA,10.5,5,1,1,0,0,41.23340358,31.41592654,3.719248694,3.447314979,0,0,NA,NA,NA,V
2020,7,1255,drought,NA,8,5,1,1,0,1,31.41592654,9.424777961,3.447314979,2.243342175,0,2,NA,NA,NA,V
2021,7,1255,drought,1,6,2,1,1,1,0,9.424777961,117.8097245,2.243342175,4.769070819,2,0,NA,NA,NA,F
2022,7,1255,drought,NA,12.5,12,1,1,0,0,117.8097245,9.424777961,4.769070819,2.243342175,0,0,NA,NA,NA,V
2023,7,1255,drought,NA,6,2,1,NA,0,NA,9.424777961,NA,2.243342175,NA,0,NA,NA,NA,NA,V
2019,8,1258,control,NA,8,4,1,1,0,0,25.13274123,23.5619449,3.224171428,3.159632906,0,0,NA,NA,NA,V
2020,8,1258,control,NA,7.5,4,1,1,0,0,23.5619449,63.61725124,3.159632906,4.152884679,0,0,NA,NA,NA,V
2021,8,1258,control,NA,9,9,1,1,0,0,63.61725124,141.3716694,4.152884679,4.951392376,0,0,NA,NA,NA,V
2022,8,1258,control,NA,18,10,1,1,0,1,141.3716694,131.9468915,4.951392376,4.882399504,0,3,NA,48,NA,V
2023,8,1258,control,NA,14,12,1,NA,1,NA,131.9468915,NA,4.882399504,NA,3,NA,48,NA,16,F
2019,13,1260,control,NA,7,5,1,1,0,0,27.48893572,NA,3.313783586,NA,0,0,NA,NA,NA,V
2020,13,1260,control,NA,NA,NA,1,1,0,0,NA,2.945243113,NA,1.080191365,0,0,NA,NA,NA,dormant
2021,13,1260,control,NA,2.5,1.5,1,1,0,0,2.945243113,13.74446786,1.080191365,2.620636406,0,0,NA,NA,NA,V
2022,13,1260,control,NA,7,2.5,1,1,0,0,13.74446786,12.76272016,2.620636406,2.546528434,0,0,NA,NA,NA,V
2023,13,1260,control,NA,6.5,2.5,1,NA,0,NA,12.76272016,NA,2.546528434,NA,0,NA,NA,NA,NA,V
2022,7,1262,drought,NA,5,2.5,1,1,0,0,9.817477042,37.69911184,2.284164169,3.629636536,0,0,NA,NA,NA,V
2023,7,1262,drought,NA,12,4,1,NA,0,NA,37.69911184,NA,3.629636536,NA,0,NA,NA,NA,NA,V
2022,7,1265,drought,NA,7,3,1,0,0,0,16.49336143,NA,2.802957962,NA,0,0,NA,NA,NA,V
2023,7,1265,drought,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,U
2019,6,1266,irrigated,NA,10,5,1,NA,1,NA,39.26990817,NA,3.67045853,NA,3,0,NA,NA,NA,F
2020,6,1266,irrigated,NA,NA,NA,NA,1,NA,0,NA,47.1238898,NA,3.852780087,0,0,NA,NA,NA,NA
2021,6,1266,irrigated,NA,12,5,1,1,0,1,47.1238898,164.9336143,3.852780087,5.105543055,0,4,NA,56,NA,V
2022,6,1266,irrigated,NA,15,14,1,1,1,0,164.9336143,103.6725576,5.105543055,4.641237447,4,0,56,NA,14,F
2023,6,1266,irrigated,NA,12,11,1,NA,0,NA,103.6725576,NA,4.641237447,NA,0,NA,NA,NA,NA,V
2023,5,1267,drought,NA,6,2,1,NA,0,NA,9.424777961,NA,2.243342175,NA,0,NA,NA,NA,NA,V
2019,11,1268,control,NA,2.5,2,1,1,0,0,3.926990817,NA,1.367873437,NA,0,0,NA,NA,NA,V
2020,11,1268,control,NA,NA,NA,1,1,0,0,NA,3.141592654,NA,1.144729886,0,0,NA,NA,NA,dormant
2021,11,1268,control,NA,2,2,1,1,0,0,3.141592654,12.56637061,1.144729886,2.531024247,0,0,NA,NA,NA,V
2022,11,1268,control,NA,8,2,1,1,0,0,12.56637061,18.84955592,2.531024247,2.936489355,0,0,NA,NA,NA,V
2023,11,1268,control,NA,8,3,1,NA,0,NA,18.84955592,NA,2.936489355,NA,0,NA,NA,NA,NA,V
2019,15,1269,drought,NA,11,5,1,NA,0,NA,43.19689899,NA,3.76576871,NA,0,0,NA,NA,NA,V
2020,15,1269,drought,NA,NA,NA,NA,1,NA,0,NA,9.424777961,NA,2.243342175,0,0,NA,NA,NA,NA
2021,15,1269,drought,NA,6,2,1,1,0,0,9.424777961,NA,2.243342175,NA,0,0,NA,NA,NA,V
2022,15,1269,drought,NA,NA,NA,1,1,0,0,NA,35.34291735,NA,3.565098014,0,0,NA,NA,NA,dormant
2023,15,1269,drought,NA,10,4.5,1,NA,0,NA,35.34291735,NA,3.565098014,NA,0,NA,NA,NA,NA,V
2018,5,127,drought,NA,4.5,9,1,1,0,0,31.80862562,7.853981634,3.459737499,2.061020618,0,0,NA,NA,NA,V
2019,5,127,drought,NA,5,2,1,NA,0,NA,7.853981634,NA,2.061020618,NA,0,0,NA,NA,NA,V
2020,5,127,drought,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
2021,5,127,drought,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,5,127,drought,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2019,11,1270,control,NA,11,4,1,NA,0,NA,34.55751919,NA,3.542625159,NA,0,0,NA,NA,NA,V
2020,11,1270,control,NA,NA,NA,NA,1,NA,0,NA,31.41592654,NA,3.447314979,0,0,NA,NA,NA,NA
2021,11,1270,control,NA,8,5,1,1,0,0,31.41592654,25.13274123,3.447314979,3.224171428,0,0,NA,NA,NA,V
2022,11,1270,control,NA,8,4,1,1,0,0,25.13274123,21.20575041,3.224171428,3.054272391,0,0,NA,NA,NA,V
2023,11,1270,control,NA,9,3,1,NA,0,NA,21.20575041,NA,3.054272391,NA,0,NA,NA,NA,NA,V
2019,3,1271,control,NA,6.5,2,1,1,0,0,10.21017612,15.70796327,2.323384882,2.754167798,0,0,NA,NA,NA,V
2020,3,1271,control,NA,5,4,1,1,0,0,15.70796327,18.84955592,2.754167798,2.936489355,0,0,NA,NA,NA,V
2021,3,1271,control,NA,6,4,1,1,0,0,18.84955592,87.9645943,2.936489355,4.476934396,0,0,NA,NA,NA,V
2022,3,1271,control,NA,16,7,1,1,0,1,87.9645943,84.82300165,4.476934396,4.440566752,0,2,NA,0,NA,V
2023,3,1271,control,NA,12,9,1,NA,1,NA,84.82300165,NA,4.440566752,NA,2,NA,0,NA,0,F
2019,15,1272,drought,NA,7.5,3.5,1,1,0,0,20.61670179,11.78097245,3.026101514,2.466485726,0,0,NA,NA,NA,V
2020,15,1272,drought,NA,5,3,1,1,0,0,11.78097245,6.283185307,2.466485726,1.837877066,0,0,NA,NA,NA,V
2021,15,1272,drought,NA,4,2,1,1,0,0,6.283185307,84.82300165,1.837877066,4.440566752,0,0,NA,NA,NA,V
2022,15,1272,drought,NA,12,9,1,1,0,0,84.82300165,28.27433388,4.440566752,3.341954463,0,0,NA,NA,NA,V
2023,15,1272,drought,NA,6,6,1,NA,0,NA,28.27433388,NA,3.341954463,NA,0,NA,NA,NA,NA,V
2019,15,1274,drought,NA,10,3,1,1,0,0,23.5619449,18.84955592,3.159632906,2.936489355,0,0,NA,NA,NA,V
2020,15,1274,drought,NA,8,3,1,1,0,0,18.84955592,39.26990817,2.936489355,3.67045853,0,0,NA,NA,NA,V
2021,15,1274,drought,NA,10,5,1,1,0,0,39.26990817,47.1238898,3.67045853,3.852780087,0,0,NA,NA,NA,V
2022,15,1274,drought,NA,10,6,1,1,0,0,47.1238898,62.83185307,3.852780087,4.140462159,0,0,NA,NA,NA,V
2023,15,1274,drought,NA,16,5,1,NA,0,NA,62.83185307,NA,4.140462159,NA,0,NA,NA,NA,NA,V
2022,8,1275,control,NA,13,8,1,1,0,0,81.68140899,103.6725576,4.402826424,4.641237447,0,0,NA,NA,NA,V
2023,8,1275,control,NA,12,11,1,NA,0,NA,103.6725576,NA,4.641237447,NA,0,NA,NA,NA,NA,V
2022,15,1276,drought,NA,7,5,1,1,0,0,27.48893572,47.1238898,3.313783586,3.852780087,0,0,NA,NA,NA,V
2023,15,1276,drought,NA,15,4,1,NA,0,NA,47.1238898,NA,3.852780087,NA,0,NA,NA,NA,NA,V
2019,15,1277,drought,NA,6,6,1,1,0,0,28.27433388,11.78097245,3.341954463,2.466485726,0,0,NA,NA,NA,V
2020,15,1277,drought,NA,5,3,1,1,0,0,11.78097245,18.84955592,2.466485726,2.936489355,0,0,NA,NA,NA,V
2021,15,1277,drought,NA,8,3,1,1,0,0,18.84955592,21.99114858,2.936489355,3.090640035,0,0,NA,NA,NA,V
2022,15,1277,drought,NA,7,4,1,1,0,0,21.99114858,35.34291735,3.090640035,3.565098014,0,0,NA,NA,NA,V
2023,15,1277,drought,NA,9,5,1,NA,0,NA,35.34291735,NA,3.565098014,NA,0,NA,NA,NA,NA,V
2019,11,1278,control,NA,6,3,1,NA,0,NA,14.13716694,NA,2.648807283,NA,0,0,NA,NA,NA,V
2020,11,1278,control,NA,NA,NA,NA,1,NA,0,NA,49.48008429,NA,3.901570251,0,0,NA,NA,NA,NA
2021,11,1278,control,NA,9,7,1,1,0,0,49.48008429,30.63052837,3.901570251,3.421997171,0,0,NA,NA,NA,V
2022,11,1278,control,NA,13,3,1,1,0,1,30.63052837,40.8407045,3.421997171,3.709679243,0,2,NA,0,NA,V
2023,11,1278,control,NA,13,4,1,NA,1,NA,40.8407045,NA,3.709679243,NA,2,NA,0,NA,0,F
2023,7,128,drought,NA,8,3,1,NA,0,NA,18.84955592,NA,2.936489355,NA,0,NA,NA,NA,NA,V
2022,6,1280,irrigated,NA,11,2.5,1,1,1,0,21.59844949,71.47123287,3.072621529,4.269295031,4,0,67,NA,16,F
2023,6,1280,irrigated,NA,13,7,1,NA,0,NA,71.47123287,NA,4.269295031,NA,0,NA,NA,NA,NA,V
2022,6,1281,irrigated,NA,19,7,1,1,0,1,104.4579557,160.2212253,4.648784653,5.076555519,0,5,NA,68,NA,V
2023,6,1281,irrigated,NA,17,12,1,NA,1,NA,160.2212253,NA,5.076555519,NA,5,NA,68,NA,13,F
2022,6,1282,irrigated,NA,14,12,1,1,0,0,131.9468915,132.7322896,4.882399504,4.88833424,0,0,NA,NA,NA,V
2023,6,1282,irrigated,NA,13,13,1,NA,0,NA,132.7322896,NA,4.88833424,NA,0,NA,NA,NA,NA,V
2019,3,1283,control,NA,3.5,1.5,1,1,0,0,4.123340358,5.890486225,1.416663601,1.773338545,0,0,NA,NA,NA,V
2020,3,1283,control,NA,3,2.5,1,1,0,0,5.890486225,10.99557429,1.773338545,2.397492854,0,0,NA,NA,NA,V
2021,3,1283,control,NA,7,2,1,1,0,0,10.99557429,21.20575041,2.397492854,3.054272391,0,0,NA,NA,NA,V
2022,3,1283,control,NA,9,3,1,1,0,1,21.20575041,35.34291735,3.054272391,3.565098014,0,3,NA,41,NA,V
2023,3,1283,control,NA,9,5,1,NA,1,NA,35.34291735,NA,3.565098014,NA,3,NA,41,NA,13,F
2022,11,1284,control,NA,4,3,1,0,0,0,9.424777961,NA,2.243342175,NA,0,0,NA,NA,NA,V
2023,11,1284,control,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,U
2023,5,1285,drought,NA,9,4.5,1,NA,0,NA,31.80862562,NA,3.459737499,NA,0,NA,NA,NA,NA,V
2019,7,1287,drought,NA,6,4,1,0,0,0,18.84955592,NA,2.936489355,NA,0,0,NA,NA,NA,V
2020,7,1287,drought,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2021,7,1287,drought,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,7,1287,drought,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,7,1287,drought,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2023,13,1288,control,NA,8,2.5,1,NA,0,NA,15.70796327,NA,2.754167798,NA,0,NA,NA,NA,NA,V
2022,15,1289,drought,NA,7,7,1,1,0,0,38.48451001,51.05088062,3.650255823,3.932822795,0,0,NA,NA,NA,V
2023,15,1289,drought,NA,13,5,1,NA,0,NA,51.05088062,NA,3.932822795,NA,0,NA,NA,NA,NA,V
2019,15,1290,drought,NA,5,3.5,1,1,0,0,13.74446786,7.068583471,2.620636406,1.955660102,0,0,NA,NA,NA,V
2020,15,1290,drought,NA,4.5,2,1,0,0,0,7.068583471,NA,1.955660102,NA,0,0,NA,NA,NA,V
2021,15,1290,drought,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,15,1290,drought,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2019,12,1292,irrigated,NA,4,2.5,1,1,0,0,7.853981634,6.87223393,2.061020618,1.927489225,0,0,NA,NA,NA,V
2020,12,1292,irrigated,NA,3.5,2.5,1,1,0,0,6.87223393,9.817477042,1.927489225,2.284164169,0,0,NA,NA,NA,V
2021,12,1292,irrigated,NA,5,2.5,1,1,0,0,9.817477042,23.36559536,2.284164169,3.151264657,0,0,NA,NA,NA,V
2022,12,1292,irrigated,NA,8.5,3.5,1,1,0,0,23.36559536,34.55751919,3.151264657,3.542625159,0,0,NA,NA,NA,V
2023,12,1292,irrigated,NA,11,4,1,NA,0,NA,34.55751919,NA,3.542625159,NA,0,NA,NA,NA,NA,V
2019,9,1293,irrigated,NA,7,2,1,1,0,0,10.99557429,21.99114858,2.397492854,3.090640035,0,0,NA,NA,NA,V
2020,9,1293,irrigated,NA,7,4,1,1,0,0,21.99114858,23.5619449,3.090640035,3.159632906,0,0,NA,NA,NA,V
2021,9,1293,irrigated,NA,6,5,1,1,0,0,23.5619449,49.48008429,3.159632906,3.901570251,0,0,NA,NA,NA,V
2022,9,1293,irrigated,NA,9,7,1,1,0,0,49.48008429,133.5176878,3.901570251,4.894233962,0,0,NA,NA,NA,V
2023,9,1293,irrigated,NA,17,10,1,NA,0,NA,133.5176878,NA,4.894233962,NA,0,NA,NA,NA,NA,V
2019,1,1294,irrigated,NA,4,2,1,1,0,0,6.283185307,10.79922475,1.837877066,2.379474349,0,0,NA,NA,NA,V
2020,1,1294,irrigated,NA,5.5,2.5,1,0,0,0,10.79922475,NA,2.379474349,NA,0,0,NA,NA,NA,V
2021,1,1294,irrigated,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,1,1294,irrigated,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2022,7,1295,drought,NA,9,4,1,1,0,0,28.27433388,7.068583471,3.341954463,1.955660102,0,0,NA,NA,NA,V
2023,7,1295,drought,NA,4.5,2,1,NA,0,NA,7.068583471,NA,1.955660102,NA,0,NA,NA,NA,NA,V
2022,7,1296,drought,NA,4,1.5,1,1,0,0,4.71238898,10.99557429,1.550194994,2.397492854,0,0,NA,NA,NA,V
2023,7,1296,drought,NA,7,2,1,NA,0,NA,10.99557429,NA,2.397492854,NA,0,NA,NA,NA,NA,V
2019,15,1297,drought,NA,9,2.5,1,NA,0,NA,17.67145868,NA,2.871950834,NA,0,0,NA,NA,NA,V
2020,15,1297,drought,NA,NA,NA,NA,1,NA,0,NA,11.78097245,NA,2.466485726,0,0,NA,NA,NA,NA
2021,15,1297,drought,NA,5,3,1,0,0,0,11.78097245,NA,2.466485726,NA,0,0,NA,NA,NA,V
2022,15,1297,drought,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,15,1297,drought,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2019,6,1298,irrigated,NA,8,5,1,1,0,0,31.41592654,32.98672286,3.447314979,3.496105143,0,0,NA,NA,NA,V
2020,6,1298,irrigated,NA,12,3.5,1,1,0,0,32.98672286,37.69911184,3.496105143,3.629636536,0,0,NA,NA,NA,V
2021,6,1298,irrigated,NA,8,6,1,1,0,0,37.69911184,123.7002107,3.629636536,4.817860983,0,0,NA,NA,NA,V
2022,6,1298,irrigated,NA,17.5,9,1,1,0,0,123.7002107,87.9645943,4.817860983,4.476934396,0,0,NA,NA,NA,V
2023,6,1298,irrigated,NA,16,7,1,NA,0,NA,87.9645943,NA,4.476934396,NA,0,NA,NA,NA,NA,V
2023,5,1299,drought,NA,6,3,1,NA,0,NA,14.13716694,NA,2.648807283,NA,0,NA,NA,NA,NA,V
2017,11,13,control,NA,11,5,1,1,0,0,43.19689899,32.98672286,3.76576871,3.496105143,0,0,NA,NA,NA,V
2018,11,13,control,NA,7,6,1,1,0,0,32.98672286,38.87720909,3.496105143,3.660408194,0,0,NA,NA,NA,V
2019,11,13,control,NA,9,5.5,1,1,0,0,38.87720909,16.49336143,3.660408194,2.802957962,0,0,NA,NA,NA,V
2020,11,13,control,NA,7,3,1,1,0,1,16.49336143,39.26990817,2.802957962,3.67045853,0,2,NA,18,NA,V
2021,11,13,control,1,10,5,1,1,1,1,39.26990817,150.7964474,3.67045853,5.015930897,2,2,18,0,9,F
2022,11,13,control,NA,16,12,1,1,1,1,150.7964474,153.1526419,5.015930897,5.031435083,2,2,0,0,0,F
2023,11,13,control,NA,13,15,1,NA,1,NA,153.1526419,NA,5.031435083,NA,2,NA,0,NA,0,F
2019,7,1300,drought,NA,6.5,6.5,1,1,0,0,33.1830724,7.068583471,3.502039879,1.955660102,0,0,NA,NA,NA,V
2020,7,1300,drought,NA,6,1.5,1,1,0,0,7.068583471,13.74446786,1.955660102,2.620636406,0,0,NA,NA,NA,V
2021,7,1300,drought,NA,5,3.5,1,1,0,0,13.74446786,16.49336143,2.620636406,2.802957962,0,0,NA,NA,NA,V
2022,7,1300,drought,NA,7,3,1,1,0,0,16.49336143,51.83627878,2.802957962,3.948090267,0,0,NA,NA,NA,V
2023,7,1300,drought,NA,11,6,1,NA,0,NA,51.83627878,NA,3.948090267,NA,0,NA,NA,NA,NA,V
2017,9,132,irrigated,NA,15,12,1,1,0,0,141.3716694,91.89158512,4.951392376,4.52060946,0,0,NA,NA,NA,V
2018,9,132,irrigated,NA,13,9,1,1,0,0,91.89158512,3.141592654,4.52060946,1.144729886,0,0,NA,NA,NA,V
2019,9,132,irrigated,NA,2,2,1,NA,0,NA,3.141592654,NA,1.144729886,NA,0,0,NA,NA,NA,V
2020,9,132,irrigated,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
2021,9,132,irrigated,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,9,132,irrigated,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2016,6,133,irrigated,NA,NA,NA,1,1,1,0,NA,132.7322896,NA,4.88833424,6,0,NA,NA,NA,F
2017,6,133,irrigated,NA,13,13,1,1,0,1,132.7322896,153.1526419,4.88833424,5.031435083,0,3,NA,NA,NA,V
2018,6,133,irrigated,NA,15,13,1,1,1,0,153.1526419,147.2621556,5.031435083,4.99221437,3,0,NA,NA,NA,F
2019,6,133,irrigated,NA,15,12.5,1,1,0,0,147.2621556,81.68140899,4.99221437,4.402826424,0,0,NA,NA,NA,V
2020,6,133,irrigated,NA,13,8,1,1,0,0,81.68140899,28.27433388,4.402826424,3.341954463,0,0,NA,NA,NA,V
2021,6,133,irrigated,NA,9,4,1,1,0,1,28.27433388,86.39379797,3.341954463,4.458915891,0,9,NA,143,NA,V
2022,6,133,irrigated,NA,11,10,1,1,1,1,86.39379797,253.6836068,4.458915891,5.536087848,9,6,143,0,15,F
2023,6,133,irrigated,NA,19,17,1,NA,1,NA,253.6836068,NA,5.536087848,NA,6,NA,0,NA,0,F
2018,1,139,irrigated,NA,10,3,1,1,1,1,23.5619449,47.1238898,3.159632906,3.852780087,2,2,NA,NA,NA,F
2019,1,139,irrigated,NA,10,6,1,NA,1,NA,47.1238898,NA,3.852780087,NA,2,0,NA,NA,NA,F
2020,1,139,irrigated,NA,NA,NA,NA,1,NA,0,NA,153.1526419,NA,5.031435083,0,0,NA,NA,NA,NA
2021,1,139,irrigated,NA,15,13,1,1,0,1,153.1526419,132.7322896,5.031435083,4.88833424,0,6,NA,124,NA,V
2022,1,139,irrigated,NA,13,13,1,1,1,1,132.7322896,91.89158512,4.88833424,4.52060946,6,7,124,107,20,F
2023,1,139,irrigated,NA,13,9,1,NA,1,NA,91.89158512,NA,4.52060946,NA,7,NA,107,NA,15,F
2019,8,1397,control,NA,9,3.5,1,1,0,0,24.74004215,11.78097245,3.208423071,2.466485726,0,0,NA,NA,NA,V
2020,8,1397,control,NA,6,2.5,1,1,0,0,11.78097245,4.71238898,2.466485726,1.550194994,0,0,NA,NA,NA,V
2021,8,1397,control,NA,3,2,1,1,0,0,4.71238898,67.15154297,1.550194994,4.206951901,0,0,NA,NA,NA,V
2022,8,1397,control,NA,9.5,9,1,1,0,0,67.15154297,51.05088062,4.206951901,3.932822795,0,0,NA,NA,NA,V
2023,8,1397,control,NA,13,5,1,NA,0,NA,51.05088062,NA,3.932822795,NA,0,NA,NA,NA,NA,V
2018,9,1404,irrigated,NA,7,4.5,1,1,0,0,24.74004215,86.78649706,3.208423071,4.463451046,0,0,NA,NA,NA,V
2019,9,1404,irrigated,NA,13,8.5,1,1,0,0,86.78649706,40.8407045,4.463451046,3.709679243,0,0,NA,NA,NA,V
